Year,Month,GWS_km3_5MA
2002,1,NA
2002,2,NA
2002,3,0
2002,4,-2.08969132
2002,5,-8.532397937
2002,6,-7.972633883
2002,7,-16.86321629
2002,8,-7.840771659
2002,9,-10.73266463
2002,10,-3.849170688
2002,11,-4.714861144
2002,12,-7.391088401
2003,1,-13.98696425
2003,2,-4.41285141
2003,3,-6.700736782
2003,4,-7.113435254
2003,5,-0.616980426
2003,6,-0.320332031
2003,7,-8.002529334
2003,8,-3.928256162
2003,9,-0.672978624
2003,10,-5.065520709
2003,11,-2.927239426
2003,12,-0.761358386
2004,1,-0.940858091
2004,2,4.116262973
2004,3,7.837828322
2004,4,4.708145099
2004,5,-1.614981955
2004,6,-1.101655996
2004,7,-6.628285819
2004,8,-3.347657985
2004,9,-3.366091467
2004,10,-0.379190949
2004,11,-0.929278341
2004,12,-2.87876075
2005,1,-9.533629244
2005,2,-1.07026525
2005,3,9.330637611
2005,4,9.932275252
2005,5,11.46540807
2005,6,16.24557753
2005,7,8.419133405
2005,8,3.506734951
2005,9,-0.393807091
2005,10,-4.525889184
2005,11,-6.134920655
2005,12,-8.096572656
2006,1,-8.602828785
2006,2,-0.015005612
2006,3,6.51870367
2006,4,6.060505619
2006,5,12.69202101
2006,6,12.93157645
2006,7,7.288473135
2006,8,15.80052385
2006,9,15.10870596
2006,10,9.882123592
2006,11,9.279784229
2006,12,9.434022058
2007,1,-0.119319556
2007,2,5.918533106
2007,3,10.88583459
2007,4,7.424197174
2007,5,11.11316213
2007,6,6.018628128
2007,7,-2.162728085
2007,8,-1.028560398
2007,9,-1.255595822
2007,10,-11.01411652
2007,11,-10.54939686
2007,12,-10.11211345
2008,1,-15.05350433
2008,2,-3.156401963
2008,3,8.226692447
2008,4,6.656280356
2008,5,7.044725667
2008,6,8.031234439
2008,7,-0.491747506
2008,8,-1.759741159
2008,9,-6.268938345
2008,10,-14.28058876
2008,11,-15.54329641
2008,12,-22.50983382
2009,1,-26.86223917
2009,2,-10.53808648
2009,3,-5.617918921
2009,4,-6.513835934
2009,5,-3.345482209
2009,6,-4.014859326
2009,7,-11.68632926
2009,8,-5.333990649
2009,9,-8.50196525
2009,10,-15.8972181
2009,11,-17.39264944
2009,12,-19.61981533
2010,1,-26.29135975
2010,2,-16.89794931
2010,3,-11.02227598
2010,4,-8.412651688
2010,5,-4.495687072
2010,6,-4.90905203
2010,7,-11.92926592
2010,8,-6.887989551
2010,9,-15.44006413
2010,10,-25.17347614
2010,11,-22.5123622
2010,12,-24.93266772
2011,1,-28.78441756
2011,2,-13.16041945
2011,3,-11.17798481
2011,4,-13.85736672
2011,5,-12.79224514
2011,6,-10.99949183
2011,7,-20.17660459
2011,8,-11.45596539
2011,9,-12.9714688
2011,10,-16.65898884
2011,11,-22.26327236
2011,12,-23.91973789
2012,1,-26.70941462
2012,2,-24.4769966
2012,3,-17.7951277
2012,4,-16.87770358
2012,5,-14.5888193
2012,6,-18.99247401
2012,7,-22.61763691
2012,8,-21.65834757
2012,9,-22.86822807
2012,10,-29.02928285
2012,11,-30.56183413
2012,12,-31.58607505
2013,1,-34.62110309
2013,2,-30.08345246
2013,3,-14.74659211
2013,4,-13.61666866
2013,5,-9.306826054
2013,6,-14.84420064
2013,7,-19.4887998
2013,8,-29.38351144
2013,9,-35.35637209
2013,10,-40.20090743
2013,11,-38.64174531
2013,12,-36.74137266
2014,1,-32.18694406
2014,2,-29.36449086
2014,3,-32.49492659
2014,4,-34.827054
2014,5,-38.83846878
2014,6,-46.60502883
2014,7,-51.83693446
2014,8,-44.42220939
2014,9,-45.73961282
2014,10,-43.64273349
2014,11,-47.47621097
2014,12,-37.53087364
2015,1,-38.60194202
2015,2,-36.46772648
2015,3,-43.98153866
2015,4,-42.04095086
2015,5,-50.56119543
2015,6,-55.81364489
2015,7,-58.94266432
2015,8,-50.73413596
2015,9,-56.04402895
2015,10,-54.85837061
2015,11,-53.32071845
2015,12,-50.24602251
2016,1,-49.1664298
2016,2,-43.26855815
2016,3,-47.27911475
2016,4,-50.29056992
2016,5,-54.73054675
2016,6,-59.63501166
2016,7,-55.97322158
2016,8,-48.59057003
2016,9,-49.93805274
2016,10,-47.12317847
2016,11,-48.3225156
2016,12,-51.34821361
2017,1,-46.35128739
2017,2,-36.84790222
2017,3,-37.01073145
2017,4,-33.34055291
2017,5,-31.69502801
2017,6,-36.59521466
2017,7,-35.91230511
2017,8,-29.09389456
2017,9,-32.75052326
2017,10,-38.87549077
2017,11,-40.79396437
2017,12,-44.09513611
2018,1,-43.22642282
2018,2,-37.32750181
2018,3,-32.16583086
2018,4,-37.88093591
2018,5,-42.60252964
2018,6,-46.30064467
2018,7,-48.7018074
2018,8,-44.80893494
2018,9,-32.75985295
2018,10,-34.64181075
2018,11,-39.23428231
2018,12,-40.769707
2019,1,-39.38215877
2019,2,-43.67665401
2019,3,-34.17717798
2019,4,-38.86430568
2019,5,-39.17173811
2019,6,-48.30965241
2019,7,-51.00723997
2019,8,-48.77673362
2019,9,-43.29433144
2019,10,-36.2880275
2019,11,NA
2019,12,NA
